enunciado;materia;topico_enam;alternativas;alternativa_correta;prova;ano;banca;gabarito;justificativa;fontes_usadas
"Ao disciplinar o procedimento a ser observado no julgamento das contas do chefe do Poder Executivo, o Regimento Interno da Câmara dos Vereadores do Município Alfa, situado na Região Norte do país, dispôs o seguinte: (1) a Câmara somente julga as contas de governo, não as de gestão, prevalecendo, em relação às últimas, o juízo de valor do Tribunal de Contas do respectivo Estado; (2) as contas não impugnadas por qualquer vereador, partido político ou cidadão, no prazo de sessenta dias, a contar do recebimento do parecer prévio do Tribunal de Contas, são tidas como aprovadas; (3) o parecer prévio do Tribunal de Contas somente deixará de prevalecer pelo voto da maioria de dois terços dos membros da Câmara Municipal. Considerando a disciplina estabelecida na Constituição da República de 1988 a respeito da matéria, é correto afirmar que:";I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 9. Organização do Estado e repartição de competências;"(A) apenas o comando 1 é constitucional; | (B) apenas o comando 3 é constitucional; | (C) apenas os comandos 1 e 2 são constitucionais; | (D) os comandos 1, 2 e 3 são constitucionais; | (E) os comandos 1, 2 e 3 são inconstitucionais.";B;TJAP;2022;FGV;B;"## Justificativa da Alternativa Correta (Letra B)

A alternativa correta é a letra **B** — apenas o comando 3 é constitucional.

### Análise do Comando 3 (constitucional):

O comando 3 do Regimento Interno estabelece que ""o parecer prévio do Tribunal de Contas somente deixará de prevalecer pelo voto da maioria de dois terços dos membros da Câmara Municipal"". Essa disposição reproduz fielmente o que determina a Constituição Federal em seu **art. 31, § 2º**, que prevê o quórum qualificado de dois terços dos membros do Legislativo Municipal para rejeição do parecer prévio do Tribunal de Contas sobre as contas do Prefeito. Trata-se, portanto, de comando constitucional.

### Análise do Comando 1 (inconstitucional):

O comando 1 afirma que a Câmara somente julga contas de governo, não as de gestão, prevalecendo quanto a estas o juízo do Tribunal de Contas do Estado. Contudo, conforme o **Tema 47 da Repercussão Geral**, a tese firmada pelo STF dispõe que ""*a competência técnica do Tribunal de Contas do Estado, ao negar registro de admissão de pessoal, não se subordina à revisão pelo Poder Legislativo respectivo*"". Essa tese trata da competência do Tribunal de Contas em atos específicos de gestão (como admissão de pessoal), mas não autoriza que a Câmara Municipal se exima completamente do julgamento das contas de gestão do Prefeito, renunciando a essa atribuição constitucional. A afirmação genérica de que as contas de gestão ficam exclusivamente sujeitas ao juízo de valor do Tribunal de Contas estadual é inconstitucional, pois o art. 31, combinado com o art. 75 da CF, estabelece o sistema de controle externo em que o Legislativo Municipal exerce papel central no julgamento das contas do chefe do Executivo.

### Análise do Comando 2 (inconstitucional):

O comando 2 prevê aprovação tácita das contas caso não haja impugnação no prazo de sessenta dias. Tal disposição é inconstitucional, pois a Constituição Federal exige manifestação expressa e deliberação efetiva da Câmara Municipal sobre as contas do Prefeito, não admitindo aprovação ficta por decurso de prazo. O julgamento das contas pelo Poder Legislativo Municipal constitui competência indelegável e irrenunciável, que deve ser exercida de forma ativa, conforme os princípios do controle externo previstos nos **arts. 31 e 75 da CF**.

### Conclusão:

Apenas o **comando 3** é constitucional, por reproduzir a exigência constitucional do quórum de dois terços para afastar o parecer prévio do Tribunal de Contas, razão pela qual a alternativa correta é a letra **B**.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes
Maria, servidora ocupante de cargo em comissão no Município Delta, adotou João Pedro, de 11 anos de idade. Ato contínuo, consultou o regime jurídico único dos servidores públicos municipais e constatou que a licença parental básica, reconhecida aos servidores adotantes, era de noventa dias, período reduzido para trinta dias quando o adotado tivesse mais de 10 anos de idade, isso sem qualquer consideração em relação a possíveis períodos de prorrogação. No entanto, somente faziam jus a essa licença os servidores ocupantes de cargos de provimento efetivo, não aqueles livremente demissíveis pela autoridade competente. À luz da sistemática constitucional, o regime jurídico único dos servidores públicos do Município Delta:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 9. Organização do Estado e repartição de competências;"(A) é inconstitucional na parte que restringe a fruição da licença aos ocupantes de cargos de provimento efetivo e estabelece períodos de fruição inferiores ao da licença gestante; | (B) é inconstitucional apenas na parte em que estabelece o período de fruição de trinta dias quando o adotado tiver mais de 10 anos de idade; | (C) não apresenta qualquer vício de inconstitucionalidade em relação aos servidores que podem fruir a licença e aos respectivos períodos de fruição; | (D) é inconstitucional apenas na parte que restringe a fruição da licença aos servidores ocupantes de cargos de provimento efetivo; | (E) é inconstitucional apenas na parte em que estabelece períodos de fruição inferiores ao da licença gestante.";A;TJAP;2022;FGV;A;"# Justificativa da Alternativa Correta (Letra A)

A alternativa A está correta porque o regime jurídico único do Município Delta padece de **dois vícios de inconstitucionalidade**, ambos identificáveis à luz da sistemática constitucional extraída dos trechos fornecidos:

## 1. Inconstitucionalidade na restrição da licença aos ocupantes de cargos de provimento efetivo

O Tema 1182 da Repercussão Geral do STF estabelece que, **""à luz do art. 227 da CF, que confere proteção integral da criança com absoluta prioridade e do princípio da paternidade responsável""**, a licença maternidade prevista no art. 7º, XVIII, da CF/88 deve ser estendida inclusive ao pai genitor monoparental. O fundamento central é a **proteção integral da criança**, e não a natureza do vínculo funcional do servidor.

A licença parental decorrente de adoção tem como destinatário principal a **criança**, que necessita de cuidados independentemente de o servidor adotante ocupar cargo efetivo ou cargo em comissão. Restringir a fruição da licença exclusivamente aos ocupantes de cargos de provimento efetivo viola o art. 227 da CF (proteção integral da criança com absoluta prioridade) e o princípio da isonomia (art. 5º, I, da CF), ambos mencionados na descrição do Tema 1182.

## 2. Inconstitucionalidade na fixação de períodos inferiores ao da licença gestante

O art. 7º, XVIII, da CF assegura licença à gestante de 120 dias. O Tema 1182 da Repercussão Geral confirma que essa licença maternidade deve ser compreendida à luz da **proteção integral da criança** (art. 227 da CF). Estabelecer prazos de 90 dias (licença básica) e de apenas 30 dias (quando o adotado tem mais de 10 anos) para a licença do servidor adotante configura tratamento discriminatório em relação à criança adotada, em violação ao art. 227, § 6º, da CF, que proíbe qualquer designação discriminatória relativa à filiação, e ao próprio princípio da isonomia (art. 5º, I, da CF). A redução do prazo com base na idade do adotado não encontra amparo constitucional, pois a proteção integral da criança não comporta essa diferenciação.

## Conclusão

O regime jurídico do Município Delta é **inconstitucional em ambos os aspectos**: tanto na parte que restringe a fruição da licença aos ocupantes de cargos de provimento efetivo quanto na parte que estabelece períodos de fruição inferiores ao da licença gestante, conforme a tese firmada no **Tema 1182 da Repercussão Geral** e os **artigos 5º, I, 7º, XVIII, 227 e 227, § 6º, da Constituição Federal**.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional
Um grupo de deputados da Assembleia Legislativa do Estado Beta apresentou projeto de lei dispondo sobre a obrigatoriedade de instalação de duas câmeras de segurança em cada unidade escolar mantida pelo Estado. O projeto foi aprovado no âmbito da Casa legislativa e sancionado pelo governador do Estado, daí resultando a promulgação da Lei estadual nº XX. À luz dos aspectos do processo legislativo descrito na narrativa e da sistemática constitucional, a Lei estadual nº XX:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 10. Poder Legislativo;"(A) apresenta vício ao dispor sobre o funcionamento dos órgãos da rede educacional estadual, matéria de iniciativa privativa do chefe do Poder Executivo, vício não convalidado pela sanção; | (B) ao acarretar aumento de despesa, sem indicação da respectiva fonte de custeio, apresenta vício de inconstitucionalidade material; | (C) ao acarretar aumento de despesa, apresenta vício de iniciativa, o qual foi convalidado pela posterior sanção do chefe do Poder Executivo; | (D) não apresenta vício de iniciativa, pois a criação de atribuições e de obrigações, para o Poder Executivo, configura atividade regular do Legislativo; | (E) não apresenta vício de iniciativa, pois, embora tenha criado obrigação para o Poder Executivo, não instituiu nova atribuição para os seus órgãos.";E;TJAP;2022;FGV;E;"A alternativa correta é a letra **E**.

De acordo com a tese firmada pelo STF no **Tema 917 de Repercussão Geral**, que trata precisamente da ""competência para iniciativa de lei municipal que preveja a obrigatoriedade de instalação de câmeras de segurança em escolas públicas municipais e cercanias"", ficou assentado que:

> *""Não usurpa competência privativa do Chefe do Poder Executivo lei que, embora crie despesa para a Administração, não trata da sua estrutura ou da atribuição de seus órgãos nem do regime jurídico de servidores públicos (art. 61, § 1º, II, 'a', 'c' e 'e', da Constituição Federal).""*

Aplicando essa tese ao caso narrado na questão, a Lei estadual nº XX, de iniciativa parlamentar, que determina a instalação de câmeras de segurança em unidades escolares mantidas pelo Estado, **não apresenta vício de iniciativa**. Isso porque, embora a lei crie uma obrigação para o Poder Executivo — e, consequentemente, gere despesa —, ela **não trata da estrutura administrativa, não cria ou modifica atribuições dos órgãos do Poder Executivo, nem dispõe sobre regime jurídico de servidores públicos**. A imposição de instalar câmeras de segurança em escolas constitui mera obrigação direcionada ao Executivo, sem instituir nova atribuição para seus órgãos, o que se insere na atividade legislativa regular.

Portanto, a alternativa **E** está correta ao afirmar que a lei não apresenta vício de iniciativa, pois, embora tenha criado obrigação para o Poder Executivo, não instituiu nova atribuição para os seus órgãos, em perfeita consonância com a tese do Tema 917 da Repercussão Geral do STF.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional
Joana e sua família contrataram com a companhia aérea ZZ o serviço de transporte aéreo internacional do Brasil para a Espanha, com passagens de ida e volta. Ao desembarcarem no destino, juntamente com os demais passageiros, constataram que sua bagagem tinha se extraviado. Assim que retornaram ao Brasil, Joana e sua família ajuizaram ação de reparação de danos em face da companhia aérea ZZ, com base no Código de Defesa do Consumidor (CDC). Em sua defesa, a companhia argumentou com a existência de convenção internacional (CI), devidamente ratificada pelo Estado brasileiro antes da promulgação da Constituição da República de 1988, cuja aplicação resultaria na fixação de indenização em patamares sensivelmente inferiores. Acresça-se que a sede da multinacional está situada em país que igualmente ratificou a convenção. À luz da sistemática constitucional, o juiz de direito, ao julgar a causa, deve aplicar, nas circunstâncias indicadas:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) o CDC, que somente não prevaleceria sobre a CI caso fosse mais favorável ao consumidor, o que não é o caso; | (B) a CI, que, por expressa previsão constitucional, sempre prevalece sobre as normas infraconstitucionais afetas à temática; | (C) o CDC, que tem a natureza de lei ordinária e foi editado em momento posterior à CI, afastando a sua eficácia no território brasileiro; | (D) o CDC, pois a proteção do consumidor consubstancia direito fundamental, insuscetível de ser restringido por CI; | (E) a CI, desde que a sua recepção pela Constituição da República de 1988 tenha sido reconhecida em cada Casa do Congresso Nacional, em dois turnos, pelo voto de três quintos dos seus membros.";B;TJAP;2022;FGV;B;"# Justificativa da Alternativa Correta: Letra B

A alternativa B está correta porque, à luz da sistemática constitucional, as convenções internacionais sobre transporte aéreo internacional **prevalecem** sobre as normas infraconstitucionais, incluindo o Código de Defesa do Consumidor, por **expressa previsão constitucional**.

## Fundamento Constitucional

O **art. 178 da Constituição Federal** (com redação dada pela EC nº 7/1995) estabelece que:

> *""A lei disporá sobre a ordenação dos transportes aéreo, aquático e terrestre, devendo, quanto à ordenação do transporte internacional, **observar os acordos firmados pela União**, atendido o princípio da reciprocidade.""*

Conforme expressamente consignado no **Informativo Temático 2025** (RE 1.520.841/SP – Tema 1.366 RG), o art. 178 da CF, ao dispor sobre a ordenação do transporte internacional, **""determina hierarquia específica aos tratados, acordos e convenções internacionais dos quais o Brasil seja signatário""**. Assim, a pretensão indenizatória por danos materiais em transporte aéreo internacional **""sujeita-se aos limites previstos em normas e tratados internacionais firmados pelo Brasil — notadamente as Convenções de Varsóvia e de Montreal —, na medida em que prevalecem em relação ao Código Civil e ao Código de Defesa do Consumidor""**.

## Aplicação ao Caso Concreto

No caso de Joana e sua família, trata-se de extravio de bagagem em transporte aéreo internacional, matéria relativa a danos materiais. A tese firmada no **Tema 1.366 da Repercussão Geral** é clara ao afirmar que *""a pretensão indenizatória por danos materiais em transporte aéreo internacional está sujeita aos limites previstos em normas e tratados internacionais firmados pelo Brasil, em especial as Convenções de Varsóvia e de Montreal""*.

Portanto, a convenção internacional prevalece sobre o CDC por expressa determinação constitucional (art. 178, CF), que confere hierarquia específica e prevalente aos tratados internacionais em matéria de ordenação do transporte internacional, o que fundamenta a correção da alternativa B.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional | Informativo Temático 2025
A instituição de assistência social ZZ, sem fins lucrativos, adquiriu, junto à sociedade empresária XX, diversos equipamentos que seriam integrados ao seu ativo permanente, visando ao pleno desenvolvimento de suas atividades regulares. Para surpresa dos seus diretores, constatou-se que, na nota fiscal emitida por XX, constava o imposto sobre circulação de mercadorias e sobre prestação de serviços de transporte interestadual e intermunicipal e comunicação (ICMS) devido pela operação de venda, na qual ZZ figurava como adquirente. Nas circunstâncias indicadas, a incidência do ICMS é:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) incorreta, pois a imunidade tributária subjetiva de ZZ incide nas hipóteses em que figure como contribuinte de direito e de fato; | (B) incorreta, desde que ZZ demonstre que arcou com o ônus financeiro do respectivo tributo, por se tratar de imposto indireto; | (C) correta, pois a imunidade tributária subjetiva de ZZ somente incide quando figure como contribuinte de direito, não de fato; | (D) incorreta, desde que ZZ demonstre que o montante correspondente à desoneração tributária será aplicado em sua atividade fim; | (E) correta, pois a imunidade tributária subjetiva de ZZ não é aplicada em se tratando de impostos que incidam sobre a circulação de riquezas.";C;TJAP;2022;FGV;C;"# Justificativa da Alternativa Correta (C)

A alternativa correta é a letra **C**: *""correta, pois a imunidade tributária subjetiva de ZZ somente incide quando figure como contribuinte de direito, não de fato.""*

## Fundamentação

A questão versa sobre a imunidade tributária das entidades de assistência social sem fins lucrativos, prevista no **art. 150, VI, ""c"", da Constituição Federal**, que veda a instituição de impostos sobre o patrimônio, renda ou serviços dessas entidades, atendidos os requisitos legais.

No caso descrito, a instituição de assistência social ZZ figura como **adquirente** (compradora) dos equipamentos vendidos pela sociedade empresária XX. O ICMS incidente na operação de venda tem como **contribuinte de direito** a sociedade empresária XX (vendedora), que realiza o fato gerador do imposto — a circulação de mercadoria. A entidade ZZ, nessa operação, figura apenas como **contribuinte de fato**, ou seja, aquela que suporta o ônus econômico do tributo embutido no preço da mercadoria.

A imunidade tributária subjetiva conferida às entidades de assistência social protege-as quando figuram na condição de **contribuinte de direito** — isto é, quando a entidade imune é o sujeito passivo da obrigação tributária perante o Fisco. Quando a entidade é mera **contribuinte de fato** (suportando indiretamente a carga tributária por repercussão econômica), a imunidade não a alcança, pois a relação jurídico-tributária se estabelece entre o Fisco e o contribuinte de direito (no caso, a vendedora XX).

Essa distinção encontra respaldo na sistemática constitucional das imunidades tributárias (art. 150, VI, da CF) e no entendimento consolidado pelo STF segundo o qual a imunidade subjetiva não beneficia o contribuinte de fato em tributos indiretos como o ICMS. Assim, a incidência do ICMS na nota fiscal emitida por XX é **correta**, porquanto a imunidade de ZZ somente opera quando esta figurar como contribuinte de direito da obrigação tributária, e não como mera adquirente que suporta o ônus econômico do imposto.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional
"O Tribunal de Justiça do Estado Alfa foi instado a realizar o controle concentrado de constitucionalidade de três normas do Município Beta: (1) a primeira norma tratava do processo legislativo no âmbito da Câmara Municipal, temática sobre a qual a Constituição do Estado Alfa não versava; (2) a segunda dispunha sobre temática que a Constituição do Estado Alfa disciplinava de modo literalmente idêntico à Constituição da República de 1988; e (3) a terceira, sobre temática somente prevista na Constituição do Estado Alfa, não na Constituição da República de 1988. O Tribunal de Justiça do Estado Alfa, preenchidos os demais requisitos exigidos:";I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 9. Organização do Estado e repartição de competências;"(A) deve realizar o controle das normas descritas em 1, 2 e 3; | (B) não deve realizar o controle das normas descritas em 1, 2 e 3; | (C) apenas deve realizar o controle das normas descritas em 2 e 3; | (D) apenas deve realizar o controle da norma descrita em 1; | (E) apenas deve realizar o controle da norma descrita em 3.";A;TJAP;2022;FGV;A;"# Justificativa da Alternativa Correta (A)

A alternativa correta é a letra **A** — o Tribunal de Justiça do Estado Alfa deve realizar o controle concentrado das normas descritas em **1, 2 e 3**.

## Fundamentação

O art. 125, § 2º, da Constituição Federal dispõe:

> *""Cabe aos Estados a instituição de representação de inconstitucionalidade de leis ou atos normativos estaduais ou **municipais** em face da **Constituição Estadual**, vedada a atribuição da legitimação para agir a um único órgão.""*

Esse dispositivo atribui aos Tribunais de Justiça a competência para realizar o controle concentrado de constitucionalidade de leis municipais tendo como parâmetro a Constituição Estadual. A partir dessa previsão constitucional, justifica-se o controle nas três hipóteses:

**Norma 1** (processo legislativo na Câmara Municipal, matéria não tratada na Constituição Estadual): As normas constitucionais federais sobre processo legislativo são consideradas normas de observância obrigatória (princípios estabelecidos na Constituição Federal, conforme art. 125, *caput*, CF), que se incorporam ao ordenamento constitucional estadual por força do princípio da simetria. Assim, ainda que a Constituição Estadual não verse expressamente sobre o tema, tais normas federais de reprodução obrigatória integram o parâmetro de controle estadual, autorizando o Tribunal de Justiça a realizar o controle concentrado.

**Norma 2** (matéria disciplinada na Constituição Estadual de modo literalmente idêntico à CF/88): Trata-se de norma de reprodução obrigatória. Estando a norma expressamente prevista na Constituição Estadual — ainda que com idêntico teor ao da Constituição Federal —, ela constitui parâmetro válido para o controle concentrado perante o Tribunal de Justiça, nos termos do art. 125, § 2º, da CF.

**Norma 3** (matéria prevista somente na Constituição Estadual): Esta é a hipótese mais evidente de cabimento, pois o parâmetro de controle é norma própria e autônoma da Constituição Estadual, situação que se enquadra perfeitamente na previsão expressa do art. 125, § 2º, da CF.

Portanto, preenchidos os demais requisitos, o Tribunal de Justiça do Estado Alfa **deve realizar o controle concentrado das três normas**, todas tendo como parâmetro a Constituição Estadual, razão pela qual a alternativa correta é a letra **A**.";Constituição Federal
Maria teve uma série de produtos apreendidos em seu estabelecimento sob o argumento de a comercialização ser proibida no território brasileiro. Ato contínuo, ao receber o respectivo auto de apreensão, apresentou sua defesa, argumentando, com provas documentais, que a lista de produtos proibidos, na qual se baseara a autoridade administrativa, fora alterada em momento pretérito. Sua defesa, no entanto, não foi acolhida. Ao ser notificada da decisão, interpôs recurso administrativo endereçado à autoridade superior, que ocupava o último grau do escalonamento hierárquico. O recurso, todavia, não foi conhecido por esta última autoridade, já que Maria não atendera a um dos pressupostos de admissibilidade previstos na legislação municipal, consistente na realização de depósito prévio correspondente a 50% do valor das mercadorias. Esse quadro permaneceu inalterado em juízo de retratação. À luz da sistemática afeta à súmula vinculante, Maria:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 9. Organização do Estado e repartição de competências;"(A) deve submeter a decisão às instâncias ordinárias do Judiciário e, somente em um segundo momento, caso não seja anulada, ingressar com reclamação no Supremo | (B) pode submeter a decisão, via reclamação, ao Supremo | (C) somente poderá impetrar mandado de segurança, em razão da violação de direito líquido e certo, o qual tem precedência em razão do caráter subsidiário da reclamação; | (D) não pode submeter a decisão à apreciação do Supremo | (E) não pode submeter a decisão à apreciação do Supremo";B;TJAP;2022;FGV;B;"# Justificativa da Alternativa Correta (B)

A alternativa correta é a letra **B**: Maria **pode submeter a decisão, via reclamação, ao Supremo**.

## Fundamentação

A questão envolve a exigência de **depósito prévio** como pressuposto de admissibilidade de recurso administrativo, o que se relaciona diretamente com a **Súmula Vinculante nº 21** do STF, cujo teor estabelece que *""é inconstitucional a exigência de depósito ou arrolamento prévios de dinheiro ou bens para admissibilidade de recurso administrativo""*.

Embora o enunciado exato da Súmula Vinculante 21 não esteja reproduzido nos trechos fornecidos, a questão opera dentro da **sistemática afeta à súmula vinculante**, conforme expressamente referido no enunciado.

Nos termos do **art. 103-A, § 3º, da Constituição Federal**, quando ato administrativo contrariar ou aplicar indevidamente súmula vinculante, cabe **reclamação ao Supremo Tribunal Federal**, que, julgando-a procedente, anulará o ato administrativo. Esse dispositivo constitucional autoriza o ajuizamento de reclamação **diretamente** ao STF contra decisão administrativa que viole súmula vinculante, **após o esgotamento das vias administrativas**.

No caso narrado, Maria: (i) apresentou defesa administrativa, que não foi acolhida; (ii) interpôs recurso à autoridade de último grau hierárquico; e (iii) o recurso não foi conhecido em razão da exigência inconstitucional de depósito prévio, quadro que permaneceu inalterado em juízo de retratação. Portanto, houve o **esgotamento das vias administrativas**, estando preenchido o requisito para o cabimento da reclamação constitucional.

A decisão administrativa que não conheceu do recurso por falta de depósito prévio **contrariou diretamente** súmula vinculante, autorizando Maria a submeter a questão ao STF **via reclamação**, sem necessidade de prévia submissão às instâncias ordinárias do Poder Judiciário.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional | Informativo Temático 2024
Joana, vereadora no Município Alfa, alugou imóvel de sua propriedade, situado no mesmo município, para o Estado estrangeiro XX, que ali instalou um serviço assistencial para pessoas carentes. Após alguns anos, momento em que o contrato de locação, nos termos da lei brasileira, se encontrava vigendo por prazo indeterminado, o Estado estrangeiro XX “comunicou” a Joana que ele, consoante a sua legislação, se tornara proprietário do imóvel, fazendo cessar o pagamento de aluguéis. Joana, sentindo-se esbulhada em sua propriedade, decidiu ajuizar ação em face do Estado estrangeiro XX. Consoante a ordem constitucional brasileira, a referida ação deve ser ajuizada perante:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 9. Organização do Estado e repartição de competências;(A) a primeira instância da Justiça comum federal, com recurso ordinário para o Superior | (B) a primeira instância da Justiça comum estadual, com recurso ordinário para o Supremo | (C) a primeira instância da Justiça comum estadual, com recurso de apelação para o | (D) o Superior | (E) o Supremo;A;TJAP;2022;FGV;A;"# Justificativa da Alternativa Correta (A)

A alternativa correta é a letra **A**: a ação deve ser ajuizada perante **a primeira instância da Justiça comum federal, com recurso ordinário para o Superior Tribunal de Justiça**.

## Fundamentação Constitucional

Embora os trechos fornecidos não contenham diretamente os dispositivos constitucionais específicos aplicáveis, a resposta decorre da conjugação dos seguintes artigos da Constituição Federal:

**Art. 109, II, da CF** – Compete aos juízes federais processar e julgar **as causas entre Estado estrangeiro ou organismo internacional e Município ou pessoa domiciliada ou residente no País**. Joana, pessoa domiciliada no Brasil, ajuíza ação em face do Estado estrangeiro XX, o que atrai a competência da **primeira instância da Justiça Federal**.

**Art. 105, II, ""c"", da CF** – Compete ao **Superior Tribunal de Justiça** julgar, em **recurso ordinário**, as causas em que forem partes Estado estrangeiro ou organismo internacional, de um lado, e, do outro, Município ou pessoa residente ou domiciliada no País.

## Aplicação ao caso concreto

Joana é vereadora e proprietária de imóvel no Município Alfa, sendo pessoa domiciliada no Brasil. O réu é o Estado estrangeiro XX. Trata-se de litígio envolvendo direito de propriedade (esbulho possessório/reivindicatória), matéria de natureza cível. A competência originária é da **Justiça comum federal em primeira instância**, e o recurso cabível é o **recurso ordinário para o Superior Tribunal de Justiça**, conforme a sistemática constitucional que rege as causas envolvendo Estados estrangeiros contra pessoas residentes no País.

Portanto, a alternativa **A** está correta ao indicar a primeira instância da Justiça comum federal como foro competente, com recurso ordinário para o STJ.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional | Informativo Temático 2024 | Informativo Temático 2025
João respondia a processo criminal em determinada Comarca do Amapá, sob a acusação de ser o autor do homicídio de Pedro. Após a apreciação dos recursos interpostos contra a sentença de pronúncia, o juízo competente decidiu representar pelo desaforamento do julgamento para outra comarca da região, pois entendia existir fundada dúvida sobre a imparcialidade do júri. Nesse caso, conforme o Regimento Interno do Tribunal de Justiça do Estado do Amapá, a representação será processada e julgada pelo(a):;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 12. Poder Judiciário;"(A)  | (B) Órgão Especial; | (C) Câmara Única; | (D) Grupo Único; | (E) Seção Única.";E;TJAP;2022;FGV;E;"## Justificativa da Alternativa Correta (E) – Seção Única

A alternativa correta é a letra **E** (Seção Única).

A questão versa sobre a competência interna do Tribunal de Justiça do Estado do Amapá para processar e julgar representação de desaforamento de julgamento pelo Tribunal do Júri, nos termos do Regimento Interno daquele Tribunal.

Cumpre observar que os trechos dos documentos fornecidos no contexto — que abrangem dispositivos da Constituição Federal (art. 105), temas de Repercussão Geral (Temas 1068, 925, 1087 e 258) e Súmulas Vinculantes (1, 3, 10 e 14) — **não contêm diretamente o dispositivo regimental do TJAP** que fundamenta a resposta. Contudo, a questão é expressa ao indicar que a resposta se dá ""conforme o Regimento Interno do Tribunal de Justiça do Estado do Amapá"".

O Tribunal de Justiça do Amapá, por ser tribunal de menor composição, organiza-se com órgãos colegiados denominados ""Seção Única"", ""Câmara Única"" e ""Tribunal Pleno"", conforme seu regimento interno. O desaforamento — instituto processual penal que desloca a competência territorial do julgamento pelo Júri — é matéria de natureza **criminal**, e, no âmbito do TJAP, a competência para processar e julgar representações pelo desaforamento é atribuída à **Seção Única**, órgão fracionário competente para matérias criminais de tal natureza.

A resposta correta é, portanto, a alternativa **(E) — Seção Única**, por ser o órgão do Tribunal de Justiça do Estado do Amapá regimentalmente competente para processar e julgar a representação de desaforamento de julgamento pelo Tribunal do Júri, quando houver fundada dúvida sobre a imparcialidade do corpo de jurados.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes
Crimes eleitorais podem ser definidos como ilícitos penais que maculam o processo democrático de alternância no poder, a liberdade do voto secreto e a própria cidadania. Condutas vedadas constituem ilícitos civil-eleitorais que se caracterizam por situações que podem denotar o uso abusivo de poder político ou de autoridade com finalidade eleitoral. Com base no exposto, é correto afirmar que:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 13. Defesa do Estado e das Instituições Democráticas;"(A) para a caracterização do crime eleitoral, basta o resultado naturalístico da conduta, independentemente da produção de dano ou perigo de dano à ordem jurídica eleitoral; | (B) as condutas vedadas têm como destinatários agentes públicos e se submetem aos princípios da tipicidade e da legalidade estrita; | (C) o crime de uso de símbolos governamentais se consuma com o uso na propaganda de símbolos nacionais, estaduais ou municipais; | (D) a caracterização da prática de conduta vedada de divulgação de propaganda institucional no período não permitido pela Justiça Eleitoral exige a demonstração do caráter eleitoreiro da publicidade; | (E) não se admite a apuração concomitante de prática de abuso de poder político e econômico e de prática de conduta vedada através de Ação de Investigação Judicial Eleitoral (AIJE).";B;TJAP;2022;FGV;B;"# Justificativa da Alternativa Correta: Letra B

**""As condutas vedadas têm como destinatários agentes públicos e se submetem aos princípios da tipicidade e da legalidade estrita.""**

A alternativa B está correta porque reflete a natureza jurídica das condutas vedadas no Direito Eleitoral, conforme delineado no próprio enunciado da questão e nos princípios constitucionais aplicáveis.

## Fundamentação

O enunciado da questão define expressamente que **condutas vedadas constituem ilícitos civil-eleitorais que se caracterizam por situações que podem denotar o uso abusivo de poder político ou de autoridade com finalidade eleitoral**. Essa definição já indica que os destinatários dessas normas são **agentes públicos**, pois são eles os detentores de poder político e de autoridade cuja utilização indevida com finalidade eleitoral se busca coibir.

A submissão aos **princípios da tipicidade e da legalidade estrita** decorre do próprio regime constitucional. O art. 15 da Constituição Federal estabelece que direitos políticos só podem sofrer restrições nos casos taxativamente previstos, evidenciando a legalidade estrita que rege a matéria eleitoral. Ademais, sendo as condutas vedadas ilícitos que podem gerar sanções graves — inclusive cassação de registro ou diploma —, sua configuração exige a subsunção precisa da conduta ao tipo legal previsto, observando-se o princípio da tipicidade.

Essa concepção é coerente com o sistema constitucional que submete toda restrição a direitos políticos a previsão expressa e taxativa (CF, art. 15), bem como com os princípios gerais de legalidade que informam o ordenamento jurídico brasileiro, especialmente quando se trata de normas sancionatórias dirigidas a agentes públicos no contexto do processo democrático de alternância no poder.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional | Informativo Temático 2025
