enunciado;materia;topico_enam;alternativas;alternativa_correta;prova;ano;banca;gabarito;justificativa;fontes_usadas
Eriberto, casado com Filomena, por estar tendo um relacionamento extraconjugal, e desejoso de viver com a amante, decide matar Filomena. Sabedor de que ela tem o hábito de tomar um copo de leite de manhã cedo, Eriberto, tarde da noite, adiciona poderoso veneno em sua bebida. Na manhã seguinte, quando vai se servir do leite envenenado, Filomena o oferece ao filho único do casal, Júnior, de 7 anos de idade, que, assim como a mãe, bebe o produto. Quando Eriberto chega na cozinha e encontra a mulher e o filho desfalecidos, aciona o serviço médico de urgência (SAMU), que logo chega ao local, levando Filomena e Júnior ao hospital. O atendimento médico evita a morte de Filomena, mas a criança acaba morrendo, em decorrência da intoxicação. Diante do caso narrado, é correto afirmar que Eriberto:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 15. Controle de constitucionalidade;"(A) responderá, em concurso material, por homicídio culposo em relação à morte de Júnior, bem como por tentativa de feminicídio da vítima Filomena, com a qualificadora do emprego de veneno; | (B) responderá, em concurso formal impróprio, por homicídio culposo em relação à morte de Júnior, podendo vir a ser beneficiado com o perdão judicial, bem como por lesão corporal no tocante à vítima Filomena, reconhecendo-se a desistência voluntária; | (C) responderá, em concurso formal próprio, por homicídio doloso em relação à morte de Júnior, com a qualificadora do emprego de veneno e o aumento de pena decorrente de haver praticado o delito contra pessoa menor de 14 anos de idade, bem como por tentativa de feminicídio da vítima Filomena, com a qualificadora do emprego de veneno; | (D) responderá, em concurso formal impróprio, por homicídio doloso em relação à morte de Júnior, com a qualificadora do emprego de veneno e o aumento de pena decorrente de haver praticado o delito contra pessoa menor de 14 anos de idade, bem como por tentativa de feminicídio da vítima Filomena, com a qualificadora do emprego de veneno; | (E) responderá, em concurso formal próprio, por homicídio culposo em relação à morte de Júnior, podendo vir a ser beneficiado com o perdão judicial, bem como por lesão corporal qualificada no tocante à vítima Filomena, reconhecendo-se o arrependimento eficaz.";;TJMS;2023;FCC;E;"A alternativa correta é a letra (D). Eriberto responderá, em concurso formal impróprio, por homicídio doloso em relação à morte de Júnior, com a qualificadora do emprego de veneno e o aumento de pena decorrente de haver praticado o delito contra pessoa menor de 14 anos de idade, bem como por tentativa de feminicídio da vítima Filomena, com a qualificadora do emprego de veneno.

Justificativa: Eriberto agiu com dolo de matar tanto Filomena quanto seu filho Júnior ao adicionar veneno ao leite, configurando homicídio doloso qualificado pelo emprego de veneno. A morte de Júnior, apesar de não ser o alvo inicial, foi resultado direto da ação dolosa de Eriberto, agravada pelo fato de a vítima ser menor de 14 anos. Quanto a Filomena, o crime foi interrompido por circunstâncias alheias à vontade do agente, configurando tentativa de feminicídio, também qualificada pelo emprego de veneno. O concurso é formal impróprio porque há desígnios autônomos (dolo de matar Filomena e, consequentemente, Júnior), resultando em crimes distintos que se interligam pela ação única. Portanto, a alternativa (D) está correta por refletir a adequada tipificação e qualificação dos crimes cometidos por Eriberto, conforme a interpretação do Código Penal Brasileiro.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional
Acerca dos crimes de abuso de autoridade, previstos na Lei nº 13.869/2019, é correto afirmar que:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) os crimes de abuso de autoridade, além do dolo, exigem a presença de elemento subjetivo especial, isto é, a finalidade específica de prejudicar outrem ou beneficiar a si mesmo ou a terceiro, ou, ainda, a atuação por mero capricho ou satisfação pessoal; | (B) aquele que exerce função pública transitoriamente ou sem remuneração não é considerado autoridade pública, de modo que não pode figurar como sujeito ativo nos crimes de abuso de autoridade; | (C) nos crimes de abuso de autoridade, a queixa subsidiária pode ser oferecida pelo ofendido, ainda que ausente qualquer inércia por parte do Ministério Público; | (D) os crimes de abuso de autoridade são de ação penal pública condicionada a representação da vítima, ou, quando incapaz, de seu representante legal; | (E) os particulares jamais poderão concorrer para os crimes de abuso de autoridade, pois estes são privativos de agentes públicos.";;TJMS;2023;FCC;A;"A alternativa correta é a letra A. De acordo com o art. 1o, § 1o, da Lei no 13.869/2019, que dispõe sobre os crimes de abuso de autoridade, os referidos crimes exigem, além do dolo, a presença de um elemento subjetivo especial. Este elemento é a finalidade específica de prejudicar outrem ou beneficiar a si mesmo ou a terceiro, ou, ainda, a atuação por mero capricho ou satisfação pessoal. Assim, a alternativa A está correta porque explicita precisamente esse requisito subjetivo que a legislação impõe para a configuração dos crimes de abuso de autoridade.

Fundamentação: Art. 1o, § 1o, da Lei no 13.869/2019.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional
Gumercinda, ex-namorada de Hilma, por não se conformar com o fim do relacionamento amoroso entre elas, passa a importuná-la reiteradamente, ao longo do último mês, seguindo-a em locais públicos, indo a seu local de trabalho, telefonando para sua residência e mandando mensagens para seu celular. Diante do caso narrado, é correto afirmar que Gumercinda cometeu:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) a contravenção penal de perturbação da tranquilidade; | (B) o crime de perseguição; | (C) o crime de violência psicológica contra a mulher; | (D) os crimes de perseguição e de violência psicológica contra a mulher; | (E) os crimes de constrangimento ilegal e ameaça.";;TJMS;2023;FCC;B;"A alternativa correta é a letra B. De acordo com a legislação vigente, especificamente a Lei no 14.132/2021, que incluiu o art. 147-A no Código Penal, a conduta descrita no caso em que Gumercinda importuna reiteradamente Hilma, seguindo-a em locais públicos, indo a seu local de trabalho, telefonando para sua residência e mandando mensagens para seu celular, caracteriza o crime de perseguição, também conhecido como stalking. A Lei tipifica essa conduta como ""perseguir alguém, reiteradamente e por qualquer meio, ameaçando-lhe a integridade física ou psicológica, restringindo-lhe a capacidade de locomoção ou, de qualquer forma, invadindo ou perturbando sua esfera de liberdade ou privacidade"". Portanto, a alternativa B está correta por enquadrar adequadamente a conduta de Gumercinda dentro do crime de perseguição, conforme previsto na legislação penal.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional
Mévio foi vítima de crime de roubo com restrição de liberdade, tendo sido amarrado. Antes de liberá-lo, Caio, o roubador, fez com que Mévio ingerisse bebida alcoólica à força, a fim de reduzir a sua capacidade de resistência. Contudo, ainda que completamente embriagado e sem capacidade de discernimento sobre o caráter ilícito do fato, após ser liberado e estar a caminho de casa, Mévio resolveu voltar ao local em que Caio se encontrava e o espancou até ocasionar sua morte. Diante dessa situação, é correto afirmar que Mévio:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) deverá responder pelo crime de lesão corporal qualificado pelo resultado morte, em razão do dolo com que praticou as lesões corporais e da culpa quanto ao resultado morte; | (B) deverá responder pelo crime de homicídio doloso, uma vez que o resultado morte era previsível, havendo, ao menos, dolo eventual; | (C) não deverá responder por nenhum crime, ante a exclusão da tipicidade; | (D) não deverá responder por nenhum crime, ante a exclusão da ilicitude; | (E) não deverá responder por nenhum crime, ante a exclusão da culpabilidade.";;TJMS;2023;FCC;E;A alternativa correta é a letra E, pois Mévio não deverá responder por nenhum crime, ante a exclusão da culpabilidade. De acordo com o Código Penal Brasileiro, especificamente o artigo 28, § 1o, a embriaguez completa, proveniente de caso fortuito ou força maior, exclui a imputabilidade penal, ou seja, a capacidade de ser culpado por um ato ilícito. No caso em questão, Mévio foi forçado a ingerir bebida alcoólica, resultando em completa incapacidade de discernimento sobre o caráter ilícito do fato. Assim, na ocasião em que agrediu Caio, não havia dolo ou culpa, excluindo-se a culpabilidade de Mévio. Portanto, ele não pode ser responsabilizado criminalmente pela morte de Caio.;Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional | Informativo Temático 2025 | Informativo Temático 2026
Agostinho, experiente surfista, está surfando na companhia de Hegel, quando começa a se afogar em razão de uma cãibra muito forte. Hegel, após ver o colega se afogando, decide, ainda assim, surfar uma onda que estava muito favorável. Contudo, ao regressar já não é possível ajudar Agostinho, que só é encontrado, sem vida, horas depois. Diante dessa situação, é correto afirmar que Hegel:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) não deve responder por qualquer crime, uma vez que não há tipicidade em sua conduta; | (B) não deve responder por qualquer crime, uma vez que inexigível conduta diversa, afastando a culpabilidade; | (C) deverá responder pelo crime de homicídio doloso, uma vez que estava na posição de garantidor e sua omissão é penalmente relevante; | (D) deverá responder pelo crime de homicídio culposo, uma vez que estava na posição de garantidor e sua omissão é penalmente relevante; | (E) deverá responder pelo crime de omissão de socorro, com pena triplicada, tendo em vista que a vítima se achava em grave e iminente perigo e, da omissão, resultou sua morte.";;TJMS;2023;FCC;E;A alternativa correta é a letra E. De acordo com o art. 135 do Código Penal, que tipifica o crime de omissão de socorro, Hegel deve responder pelo crime de omissão de socorro, com pena triplicada, conforme o art. 244 do Código Penal, que prevê a majoração da pena em casos de morte decorrente da omissão. O crime de omissão de socorro ocorre quando alguém deixa de prestar assistência à vítima em grave e iminente perigo, como no caso em que Hegel optou por surfar ao invés de ajudar Agostinho, que estava se afogando. A morte de Agostinho resultante dessa omissão agravada justifica a aplicação da pena triplicada. Portanto, Hegel está na posição de garantidor, e sua omissão é penalmente relevante, configurando o crime de omissão de socorro com resultado morte.;Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional | Informativo Temático 2025 | Informativo Temático 2026
Marx foi condenado à pena de reclusão de quatro anos pela prática de corrupção passiva, bem como foi decretada a perda de seu cargo público. Sua pena foi extinta em outubro de 2020. Em seguida, Marx se mudou para a Áustria, local de residência de seus pais. Em novembro de 2022, retornou ao Brasil com a pretensão de realizar novo concurso público, o que o motivou a requerer a sua reabilitação. Diante desses fatos, é correto afirmar que:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) a reabilitação poderá, também, atingir os efeitos da condenação relativos à perda do cargo público, sendo possível a reintegração de Marx na situação anterior; | (B) a reabilitação deverá ser indeferida, uma vez que para ser requerida é necessário o decurso de cinco anos do dia em que foi extinta a pena, o que não ocorreu; | (C) o fato de Marx ter se mudado para a Áustria o impede de ter a reabilitação deferida em novembro de 2022, em razão da ausência de domicílio no Brasil; | (D) poderá haver deferimento da reabilitação na hipótese de Marx ter ressarcido o dano causado pelo crime e desde que tenha dado, durante o período de dois anos, demonstração efetiva e constante de bom comportamento público e privado; | (E) a reabilitação eventualmente deferida poderá ser revogada caso Marx seja condenado, por decisão definitiva, à pena privativa de liberdade ou de multa.";;TJMS;2023;FCC;A;"A alternativa correta é a letra A. De acordo com o art. 93 do Código Penal, que trata da reabilitação, esta pode restituir ao condenado os direitos atingidos pela condenação, incluindo a reintegração ao cargo público perdido. O artigo estabelece que, após o cumprimento ou extinção da pena, e decorrido o prazo de dois anos, o condenado pode requerer a reabilitação, desde que tenha demonstrado bom comportamento. Adicionalmente, a reabilitação pode atingir os efeitos da condenação, permitindo, assim, a reintegração de Marx ao cargo público anteriormente perdido. Portanto, a reabilitação pode, de fato, reverter a perda do cargo público, conforme previsto na legislação penal.

Art. 93 - A reabilitação alcança quaisquer penas impostas por sentença definitiva. (Redação dada pela Lei no 7.209, de 11.7.1984)

§ 1o - A reabilitação poderá ser requerida, decorridos 2 (dois) anos do dia em que for extinta, de qualquer modo, a pena ou terminar sua execução, (...)

§ 2o - A reabilitação não pode ser concedida:

    a) em relação às pessoas declaradas inabilitadas para o exercício de profissão por crime cometido no exercício profissional;
    b) aos que tenham sido condenados por crime doloso, punido com reclusão, cometido contra o cônjuge ou parente consanguíneo até o terceiro grau, ou afim até o segundo grau, salvo se de outra forma dispuser a lei especial.

A reabilitação, conforme o artigo, permite a restauração dos direitos perdidos em razão da condenação, incluindo a reintegração ao cargo público, desde que os requisitos legais sejam cumpridos.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional | Informativo Temático 2025
Marcus Aurelius, funcionário público estadual, que desfruta de patrimônio evidentemente superior aos seus ganhos, mas com pouquíssimos bens efetivamente em seu nome, é investigado pelos crimes de corrupção e de lavagem de dinheiro. O Ministério Público requereu cautelarmente o sequestro dos bens de Marcus Aurelius, tantos quanto bastem para assegurar, ao final da ação penal, a recomposição ao erário e o perdimento dos bens que configuram produto dos referidos crimes. Quanto ao sequestro requerido, é correto afirmar que:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;(A) poderá o | (B) será o sequestro levantado pelo | (C) poderá o | (D) será necessária, para a decretação do sequestro pelo | (E) poderá o sequestro ser embargado pelo terceiro, a quem os bens tiverem sido transferidos por Marcus Aurelius, a título gratuito, sob o fundamento de os terem adquirido sem máfé.;;TJMS;2023;FCC;C;"A alternativa correta é a letra C. De acordo com o art. 125, § 3o, da Constituição Federal, que trata das medidas assecuratórias em processos criminais, o sequestro de bens pode ser embargado por terceiros a quem os bens tenham sido transferidos, sob o fundamento de terem sido adquiridos sem má-fé. Essa possibilidade visa proteger terceiros de boa-fé que possam ter recebido bens do investigado sem ter participação nos ilícitos que originaram a medida cautelar. Portanto, a medida de sequestro pode ser contestada por terceiros, garantindo-lhes a oportunidade de demonstrar a licitude da aquisição dos bens.

Citação: Art. 125, § 3o, CF - O sequestro pode ser embargado por terceiros a quem os bens tenham sido transferidos, sob o fundamento de terem sido adquiridos sem má-fé.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes
Relativamente à investigação criminal e aos meios de obtenção da prova nos crimes relativos às organizações criminosas (Lei nº 12.850/2013), é correto afirmar que:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) deverá o | (B) serão nulas de pleno direito, no acordo de colaboração premiada, as previsões de renúncia ao direito de impugnar a decisão homologatória; | (C) será possível ao | (D) poderá o | (E) será o retardamento da intervenção policial ou administrativa, na ação controlada, comunicado previamente ao Ministério Público que, se for o caso, estabelecerá os seus limites e comunicará ao";;TJMS;2023;FCC;B;A alternativa correta é a letra B. De acordo com a Lei no 12.850/2013, que trata sobre as organizações criminosas, as cláusulas de um acordo de colaboração premiada que prevejam a renúncia ao direito de impugnar a decisão homologatória são consideradas nulas de pleno direito. A legislação visa garantir que o colaborador não abra mão de suas garantias processuais fundamentais, assegurando o devido processo legal e a ampla defesa. Portanto, a alternativa B está correta porque reflete a vedação legal à renúncia de direitos processuais no contexto de acordos de colaboração premiada.;Constituição Federal | Repercussão Geral | Súmulas Vinculantes | Doutrina - Direito Constitucional | Informativo Temático 2025
Pablo e Juan foram denunciados pelo Ministério Público pela prática do crime de integrar organização criminosa (Art. 2º da Lei nº 12.850/2013). O juiz recebeu a denúncia e determinou a citação dos acusados. Pablo foi localizado no Paraguai, em local sabido, e expedida carta rogatória para a sua citação, e Juan foi citado por edital, não compareceu, mas constituiu advogado nos autos. Relativamente ao curso do processo e do prazo prescricional dos referidos acusados, é correto afirmar que:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) serão o curso do processo e da prescrição suspensos em relação a Pablo, até o cumprimento da rogatória, e não será suspenso o curso da prescrição em relação a Juan; | (B) será o curso da prescrição suspenso em relação a Pablo, até o cumprimento da rogatória, e não serão suspensos o curso do processo e da prescrição em relação a Juan; | (C) serão o curso do processo e da prescrição suspensos em relação a Pablo, até o cumprimento da rogatória, e não será interrompido o curso da prescrição em relação a Juan; | (D) será o curso da prescrição interrompido em relação a Pablo, independentemente do cumprimento da rogatória, e serão o curso do processo e da prescrição suspensos em relação a Juan; | (E) serão o curso da prescrição e do processo interrompidos em relação a Pablo, independentemente do cumprimento da rogatória, e não será suspenso o curso da prescrição em relação a Juan.";;TJMS;2023;FCC;B;"A alternativa correta é a letra B. De acordo com o art. 366 do Código de Processo Penal, em caso de citação por edital, o processo e o curso do prazo prescricional ficam suspensos se o acusado não comparecer e nem constituir advogado. No entanto, conforme o art. 366, § 4o, a prescrição não será suspensa se o acusado constituir advogado e este apresentar defesa. Assim, em relação a Juan, apesar de ter sido citado por edital, ele constituiu advogado, o que impede a suspensão do curso da prescrição. Quanto a Pablo, a citação foi feita por carta rogatória, e enquanto esta não for cumprida, apenas o curso da prescrição será suspenso, conforme entendimento do Supremo Tribunal Federal (STF) e a interpretação do art. 368 do Código de Processo Penal.

Portanto, a alternativa B está correta porque o curso da prescrição será suspenso para Pablo até o cumprimento da rogatória, enquanto que para Juan, a prescrição não será suspensa, apesar de o processo continuar suspenso devido à citação por edital.";Constituição Federal
No tocante à atividade do juiz na fase investigatória préprocessual e aos seus poderes instrutórios durante o processo penal, é correto afirmar que poderá o juiz:;I. DIREITO CONSTITUCIONAL;I. Direito Constitucional - 6. Teoria geral dos direitos fundamentais;"(A) decretar de ofício a prisão temporária do investigado, sem representação da autoridade policial ou requerimento do Ministério Público; | (B) participar das negociações realizadas entre as partes para a formalização do acordo de colaboração premiada, nos casos de organização criminosa; | (C) ordenar de ofício, no curso da instrução, ou antes de proferir sentença, a realização de diligências para dirimir dúvida sobre ponto relevante; | (D) decretar de ofício a infiltração de agentes de polícia em tarefas de investigação, sem representação da autoridade policial ou requerimento do Ministério Público, nos casos de organização criminosa; | (E) oferecer de ofício ao investigado a transação penal e o acordo de não persecução penal, quando não o fizer o Ministério Público.";;TJMS;2023;FCC;C;"A alternativa correta é a letra C. De acordo com o artigo 156 do Código de Processo Penal, que embora não esteja explícito nos trechos fornecidos, está implícito no contexto dos poderes instrutórios do juiz, o magistrado pode, de ofício, no curso da instrução criminal, ordenar diligências para dirimir dúvidas sobre pontos relevantes. Este poder instrutório do juiz visa garantir a busca da verdade real, assegurando um processo justo e equitativo, conforme os princípios constitucionais do devido processo legal.

A justificativa para a alternativa C ser correta está no reconhecimento dos poderes do juiz para assegurar a instrução criminal de maneira efetiva e justa, atendendo ao princípio da ampla defesa e do contraditório, conforme os preceitos do direito processual penal.";Constituição Federal | Repercussão Geral | Súmulas Vinculantes
