Código;enunciado;alternativas;Matéria;Subtópico 1;Subtópico 2
TJAP22-1;A empresa XYWZ, com sede no Estado do Amapá, há alguns anos enfrentava dificuldades financeiras e passou a não realizar o pagamento de dívidas que já acumulavam um passivo maior do que o seu ativo. Com a pandemia, a situação se agravou ainda mais e a empresa encerrou suas atividades às pressas, sem comunicar aos órgãos competentes. Diante da inadimplência da empresa, seus credores, incluindo o fisco, entraram em juízo e solicitaram a desconsideração da personalidade jurídica. Atento à jurisprudência do Superior Tribunal de Justiça, o magistrado deve considerar, no caso, que:;"(A) para a desconsideração da personalidade jurídica basta a caracterização do estado de insolvência da empresa; | (B) caso a empresa participasse de grupo econômico, haveria a desconsideração da personalidade jurídica; | (C) a dissolução irregular é suficiente, por si só, para o implemento da desconsideração da personalidade jurídica, com base no Art. 50 do Código Civil; | (D) presume-se dissolvida irregularmente a empresa que deixar de funcionar no seu domicílio fiscal, sem comunicação aos órgãos competentes; | (E) tratando-se de regra que importa na ampliação do princípio da autonomia patrimonial da pessoa jurídica, a interpretação que melhor se coaduna com o Art. 50 do Código Civil é a de que, diante do encerramento irregular das atividades, a pessoa jurídica tenha sido instrumento para fins fraudulentos.";VI.DIREITO CIVIL;7. Contratos em geral: teoria geral dos contratos;sem aderencia. (subtópico não encontrado)
TJAP22-2;Sobre o contrato de seguro de vida, a jurisprudência do Superior Tribunal de Justiça permite afirmar que:;"(A) a constituição em mora, de que trata o Art. 763 do Código Civil, exige prévia interpelação e, portanto, a mora no contrato de seguro de vida é ex persona; | (B) o pagamento de indenização prevista em contrato de seguro de vida é dispensado no caso de embriaguez do segurado; | (C) os contratos de seguro de vida cobrem a hipótese de suicídio desde o início da contratação; | (D) o atraso no pagamento do prêmio pelo segurado, independentemente da sua constituição em mora pela seguradora, implica a suspensão automática do contrato de seguro de vida; | (E) nos contratos de seguro regidos pelo Código Civil, a correção monetária sobre indenização securitária incide desde a ocorrência do sinistro até o efetivo pagamento.";VI.DIREITO CIVIL;7. Contratos em geral: teoria geral dos contratos;sem aderencia. (subtópico não encontrado)
TJAP22-3;No que tange ao superendividamento, é correto afirmar que:;"(A) a Lei nº 14.181/2021, também conhecida como Lei do Superendividamento, estabeleceu um percentual de inadimplência de 30% dos débitos para que o consumidor seja considerado superendividado; | (B) as normas protetivas em relação ao superendividamento dos artigos 54-A a 54-G do Código de Defesa do Consumidor (CDC) se aplicam em relação à aquisição ou à contratação de produtos e serviços de luxo de alto valor; | (C) a doutrina e a jurisprudência classificam o consumidor superendividado ativo como aquele que se endivida por questões alheias ao seu controle como, por exemplo, em razão de circunstâncias de desemprego; | (D) a Lei nº 14.181/2021 inseriu como nova proibição na oferta de crédito ao consumidor a indicação de que a operação de crédito poderá ser concluída sem consulta a serviços de proteção ao crédito ou sem avaliação da situação financeira do consumidor; | (E) o superendividamento é um fenômeno multidisciplinar que repercute na sociedade de consumo de massa. As dívidas alimentícias corroboram significativamente para o agravamento desse fenômeno, tendo em vista diminuírem a capacidade de adimplemento do consumidor.";VI.DIREITO CIVIL;20. Direito do consumidor;sem aderencia. (subtópico não encontrado)
TJAP22-4;Pedro (comodante) celebrou contrato de comodato com Maria (comodatária), tendo por objeto um imóvel de sua propriedade para que ela residisse com sua família pelo prazo de 12 meses. Findo esse prazo, Maria permaneceu no imóvel alegando não ter condições de realizar a sua mudança, que somente veio a se concretizar 6 meses depois. Considerando o caso hipotético, é correto afirmar que:;"(A) a negativa de Maria de sair do imóvel não gera automaticamente a mora ex re e depende de interpelação judicial ou extrajudicial por Pedro; | (B) a justificativa apresentada por Maria para permanecer no imóvel após o termo final do contrato de comodato descaracteriza a posse injusta e o esbulho possessório; | (C) Maria deverá pagar aluguel a Pedro após o termo final do contrato de comodato pelo prazo de 6 meses; | (D) o contrato de comodato passou a vigorar por prazo indeterminado, já que Pedro não realizou a interpelação judicial ou extrajudicial de Maria; | (E) após o termo final do contrato de comodato, como Maria permaneceu no imóvel, o contrato será considerado de locação e Pedro deverá ingressar com ação de despejo.";VI.DIREITO CIVIL;7. Contratos em geral: teoria geral dos contratos;sem aderencia. (subtópico não encontrado)
TJAP22-5;Mário é viúvo e, após sérias desavenças com sua única parente e irmã, Adalberta, resolve deixar seus bens para o amigo de infância Roberto. Para tanto, elabora testamento público. Considerando a situação hipotética, é correto afirmar que:;"(A) Mário somente poderá revogar o testamento público por outro testamento público; | (B) apesar de o testamento de Mário ser público, é sigiloso; | (C) caso Mário tenha a sua incapacidade supervenientemente declarada, o testamento será inválido; | (D) a disposição testamentária é válida, pois os colaterais são herdeiros facultativos; | (E) o testamento de Mário poderá ser impugnado no prazo de dez anos contados da data do registro. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 4";VI.DIREITO CIVIL;20. Direito do consumidor;sem aderencia. (subtópico não encontrado)
TJAP22-6;Jurema, ao conduzir o seu veículo por uma estrada de mão dupla, é surpreendida com um carro na contramão e em alta velocidade dirigido por Maurício. Para se esquivar de uma possível colisão, Jurema realiza manobra vindo a atropelar Bento, que estava na calçada e sofreu um corte no rosto, o que o impediu de realizar um ensaio fotográfico como modelo profissional. Considerando a situação hipotética, é correto afirmar que Jurema:;"(A) praticou ato ilícito e deverá indenizar Bento; | (B) agiu em estado de necessidade e não deverá indenizar Bento, pois o ato é lícito; | (C) agiu em estado de necessidade e deverá indenizar Bento, apesar do ato ser lícito; | (D) e Maurício devem indenizar Bento, pois praticaram atos ilícitos; | (E) praticou ato ilícito e deve indenizar Bento, mas não poderá ingressar com ação de regresso em face de Maurício.";V.DIREITO PROCESSUAL CIVIL;5. Participação dos sujeitos do processo;8. Fase instrutória: conceito e características
TJAP22-7;O Banco BPF S/A ajuizou execução por título extrajudicial em face de João Pedro para satisfação de sua dívida. No momento da penhora de um automóvel que cobriria o valor devido, o executado informou que este fora vendido para seu filho, Bernardo. O automóvel se encontra efetivamente na posse de Bernardo, que dele vem se utilizando, e a transferência da propriedade foi registrada administrativamente junto ao Detran. No entanto, o executado não obteve êxito em comprovar o valor supostamente pago pela venda do carro, ficando claro que o negócio jurídico efetivamente celebrado fora uma doação. Diante disso, deve ser reconhecida a:;"(A) nulidade do contrato de compra e venda do carro por simulação relativa objetiva; | (B) anulabilidade do contrato de compra e venda do carro por simulação absoluta; | (C) inexistência do contrato de compra e venda do carro por simulação relativa subjetiva; | (D) nulidade do contrato de compra e venda do carro por simulação absoluta; | (E) anulabilidade do contrato de compra e venda do carro por simulação relativa objetiva.";VI.DIREITO CIVIL;17. Direitos das pessoas com deficiência: inclusão, direitos e garantias legais e co;sem aderencia. (subtópico não encontrado)
TJAP22-8;A Lig Suprimentos Ltda. firmou uma confissão de dívida perante a SMA Informática S/A, tendo por objeto a quantia de R$ 150.000,00. Uma das cláusulas da confissão de dívida estabelecia que o pagamento da dívida se daria em data a ser definida por credor e devedor. Com o passar do tempo, a SMA Informática S/A tentou por diversas vezes fixar a data para pagamento, mas a Lig Suprimentos Ltda. nunca concordava. A mencionada cláusula contém uma condição:;"(A) suspensiva simplesmente potestativa; | (B) resolutiva puramente potestativa; | (C) suspensiva contraditória; | (D) resolutiva simplesmente potestativa; | (E) suspensiva puramente potestativa.";VI.DIREITO CIVIL;5. Fatos jurídicos;sem aderencia. (subtópico não encontrado)
TJAP22-9;A empreiteira Cosme Ltda. contratou a Flet Ltda. para que ela lhe desse a perfuratriz modelo SKS que tinha no seu galpão em Santana. Entretanto, outra cláusula do contrato previa a possibilidade acessória de a Flet Ltda. se desincumbir de sua obrigação, se quisesse, entregando à Cosme Ltda. a perfuratriz modelo 1190 que está em seu armazém nos arredores de Macapá. Ocorre que, antes da data marcada para a entrega, uma tempestade atinge Santana e destrói o galpão, inviabilizando a entrega da perfuratriz modelo SKS. Diante disso, a Cosme Ltda. pode exigir:;"(A) somente a entrega da perfuratriz modelo 1190, sem direito a perdas e danos; | (B) a entrega da perfuratriz modelo 1190, com direito a perdas e danos; | (C) o equivalente pecuniário da perfuratriz modelo SKS ou a entrega da perfuratriz modelo 1190; | (D) o equivalente pecuniário da perfuratriz modelo SKS ou a entrega da perfuratriz modelo 1190, com direito a perdas e danos; | (E) somente a resolução do contrato, com devolução de valores eventualmente pagos.";VI.DIREITO CIVIL;6. Obrigações;sem aderencia. (subtópico não encontrado)
TJAP22-10;Renato, professor universitário, adquiriu um automóvel usado de seu vizinho, Adalberto, corretor de imóveis. Este lhe concedeu dois meses de garantia, iniciada a partir da entrega do bem. Entretanto, três dias depois de expirada a garantia, o veículo pifou na estrada, exigindo de Renato gastos com reboque e conserto. Diante disso, é correto afirmar que:;"(A) Renato nada mais pode pretender em face de Adalberto, pois, tendo em vista a natureza da relação, a garantia contratual afasta a garantia legal; | (B) para pretender a resolução do contrato ou o abatimento do preço, Renato deve provar que o defeito era preexistente ao término do prazo de garantia; | (C) ante a possibilidade de conserto do bem, não pode Renato resolver o contrato por falta do requisito da gravidade do vício, mas pode pleitear abatimento no preço pago; | (D) Renato somente pode pretender indenização dos gastos com reboque e conserto se comprovar que Adalberto agiu de má-fé, pois já sabia do defeito do veículo; | (E) Renato pode optar entre a substituição por outro automóvel, a restituição do preço pago, atualizado monetariamente, ou seu abatimento proporcional. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 5";VI.DIREITO CIVIL;6. Obrigações;sem aderencia. (subtópico não encontrado)
