Código;enunciado;alternativas;disciplina;topico;topico_id;score_similaridade;metodo_classificacao;confianca
TJAP22-1;A empresa XYWZ, com sede no Estado do Amapá, há alguns anos enfrentava dificuldades financeiras e passou a não realizar o pagamento de dívidas que já acumulavam um passivo maior do que o seu ativo. Com a pandemia, a situação se agravou ainda mais e a empresa encerrou suas atividades às pressas, sem comunicar aos órgãos competentes. Diante da inadimplência da empresa, seus credores, incluindo o fisco, entraram em juízo e solicitaram a desconsideração da personalidade jurídica. Atento à jurisprudência do Superior Tribunal de Justiça, o magistrado deve considerar, no caso, que:;"(A) para a desconsideração da personalidade jurídica basta a caracterização do estado de insolvência da empresa; | (B) caso a empresa participasse de grupo econômico, haveria a desconsideração da personalidade jurídica; | (C) a dissolução irregular é suficiente, por si só, para o implemento da desconsideração da personalidade jurídica, com base no Art. 50 do Código Civil; | (D) presume-se dissolvida irregularmente a empresa que deixar de funcionar no seu domicílio fiscal, sem comunicação aos órgãos competentes; | (E) tratando-se de regra que importa na ampliação do princípio da autonomia patrimonial da pessoa jurídica, a interpretação que melhor se coaduna com o Art. 50 do Código Civil é a de que, diante do encerramento irregular das atividades, a pessoa jurídica tenha sido instrumento para fins fraudulentos.";DIREITO CIVIL;Pessoas jurídicas. Personalidade jurídica da pessoa jurídica. Desconsideração.;1;0.60;groq;alta
TJAP22-2;Sobre o contrato de seguro de vida, a jurisprudência do Superior Tribunal de Justiça permite afirmar que:;"(A) a constituição em mora, de que trata o Art. 763 do Código Civil, exige prévia interpelação e, portanto, a mora no contrato de seguro de vida é ex persona; | (B) o pagamento de indenização prevista em contrato de seguro de vida é dispensado no caso de embriaguez do segurado; | (C) os contratos de seguro de vida cobrem a hipótese de suicídio desde o início da contratação; | (D) o atraso no pagamento do prêmio pelo segurado, independentemente da sua constituição em mora pela seguradora, implica a suspensão automática do contrato de seguro de vida; | (E) nos contratos de seguro regidos pelo Código Civil, a correção monetária sobre indenização securitária incide desde a ocorrência do sinistro até o efetivo pagamento.";DIREITO CIVIL;Contratos em espécie. Compra e venda. Troca ou permuta. Contrato Estimatório. Doação. Locação de coisas. Locação de imóveis. Empréstimo: comodato e mútuo. Prestação de serviço. Empreitada. Depósito. Mandato. Comissão. Agência e distribuição. Corretagem. Transporte. Seguro. Constituição de renda. Jogo e aposta. Fiança. Transação. Compromisso.;3;0.56;groq;alta
TJAP22-3;No que tange ao superendividamento, é correto afirmar que:;"(A) a Lei nº 14.181/2021, também conhecida como Lei do Superendividamento, estabeleceu um percentual de inadimplência de 30% dos débitos para que o consumidor seja considerado superendividado; | (B) as normas protetivas em relação ao superendividamento dos artigos 54-A a 54-G do Código de Defesa do Consumidor (CDC) se aplicam em relação à aquisição ou à contratação de produtos e serviços de luxo de alto valor; | (C) a doutrina e a jurisprudência classificam o consumidor superendividado ativo como aquele que se endivida por questões alheias ao seu controle como, por exemplo, em razão de circunstâncias de desemprego; | (D) a Lei nº 14.181/2021 inseriu como nova proibição na oferta de crédito ao consumidor a indicação de que a operação de crédito poderá ser concluída sem consulta a serviços de proteção ao crédito ou sem avaliação da situação financeira do consumidor; | (E) o superendividamento é um fenômeno multidisciplinar que repercute na sociedade de consumo de massa. As dívidas alimentícias corroboram significativamente para o agravamento desse fenômeno, tendo em vista diminuírem a capacidade de adimplemento do consumidor.";DIREITO CIVIL;Direito do consumidor. Consumidor. Fornecedor. Direitos básicos do consumidor. Qualidade de produtos e serviços. Prevenção e reparação dos danos. Defesa do consumidor em juízo.;2;0.59;groq;alta
TJAP22-4;Pedro (comodante) celebrou contrato de comodato com Maria (comodatária), tendo por objeto um imóvel de sua propriedade para que ela residisse com sua família pelo prazo de 12 meses. Findo esse prazo, Maria permaneceu no imóvel alegando não ter condições de realizar a sua mudança, que somente veio a se concretizar 6 meses depois. Considerando o caso hipotético, é correto afirmar que:;"(A) a negativa de Maria de sair do imóvel não gera automaticamente a mora ex re e depende de interpelação judicial ou extrajudicial por Pedro; | (B) a justificativa apresentada por Maria para permanecer no imóvel após o termo final do contrato de comodato descaracteriza a posse injusta e o esbulho possessório; | (C) Maria deverá pagar aluguel a Pedro após o termo final do contrato de comodato pelo prazo de 6 meses; | (D) o contrato de comodato passou a vigorar por prazo indeterminado, já que Pedro não realizou a interpelação judicial ou extrajudicial de Maria; | (E) após o termo final do contrato de comodato, como Maria permaneceu no imóvel, o contrato será considerado de locação e Pedro deverá ingressar com ação de despejo.";DIREITO CIVIL;Contratos em espécie. Compra e venda. Troca ou permuta. Contrato Estimatório. Doação. Locação de coisas. Locação de imóveis. Empréstimo: comodato e mútuo. Prestação de serviço. Empreitada. Depósito. Mandato. Comissão. Agência e distribuição. Corretagem. Transporte. Seguro. Constituição de renda. Jogo e aposta. Fiança. Transação. Compromisso.;1;0.48;groq;alta
TJAP22-5;Mário é viúvo e, após sérias desavenças com sua única parente e irmã, Adalberta, resolve deixar seus bens para o amigo de infância Roberto. Para tanto, elabora testamento público. Considerando a situação hipotética, é correto afirmar que:;"(A) Mário somente poderá revogar o testamento público por outro testamento público; | (B) apesar de o testamento de Mário ser público, é sigiloso; | (C) caso Mário tenha a sua incapacidade supervenientemente declarada, o testamento será inválido; | (D) a disposição testamentária é válida, pois os colaterais são herdeiros facultativos; | (E) o testamento de Mário poderá ser impugnado no prazo de dez anos contados da data do registro. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 4";DIREITO CIVIL;Aspectos gerais do direito de família e das sucessões. Casamento. União estável. Repercussões previdenciárias. Relações de parentesco. Regime de bens entre os cônjuges e os companheiros. Bem de família. Tutela. Curatela. Sucessão em geral: sucessão legítima e testamentária.;4;0.55;groq;alta
TJAP22-6;Jurema, ao conduzir o seu veículo por uma estrada de mão dupla, é surpreendida com um carro na contramão e em alta velocidade dirigido por Maurício. Para se esquivar de uma possível colisão, Jurema realiza manobra vindo a atropelar Bento, que estava na calçada e sofreu um corte no rosto, o que o impediu de realizar um ensaio fotográfico como modelo profissional. Considerando a situação hipotética, é correto afirmar que Jurema:;"(A) praticou ato ilícito e deverá indenizar Bento; | (B) agiu em estado de necessidade e não deverá indenizar Bento, pois o ato é lícito; | (C) agiu em estado de necessidade e deverá indenizar Bento, apesar do ato ser lícito; | (D) e Maurício devem indenizar Bento, pois praticaram atos ilícitos; | (E) praticou ato ilícito e deve indenizar Bento, mas não poderá ingressar com ação de regresso em face de Maurício.";DIREITO CIVIL;Responsabilidade civil. Elementos. Responsabilidade por fato de outrem. Responsabilidade por fato da coisa. Teorias subjetiva e objetiva da responsabilidade civil. Responsabilidade civil nas Relações de Trabalho e Emprego. Dano moral e material. Dano coletivo. Dano estético. Dano à imagem. Indenização. Perda de uma chance. Nexo causal e suas teorias. Liquidação do dano. Responsabilidade pré e pós contratual. Responsabilidade contratual e aquiliana. Excludentes da responsabilidade civil. Boa-fé subjetiva e objetiva.;4;0.52;groq;alta
TJAP22-7;O Banco BPF S/A ajuizou execução por título extrajudicial em face de João Pedro para satisfação de sua dívida. No momento da penhora de um automóvel que cobriria o valor devido, o executado informou que este fora vendido para seu filho, Bernardo. O automóvel se encontra efetivamente na posse de Bernardo, que dele vem se utilizando, e a transferência da propriedade foi registrada administrativamente junto ao Detran. No entanto, o executado não obteve êxito em comprovar o valor supostamente pago pela venda do carro, ficando claro que o negócio jurídico efetivamente celebrado fora uma doação. Diante disso, deve ser reconhecida a:;"(A) nulidade do contrato de compra e venda do carro por simulação relativa objetiva; | (B) anulabilidade do contrato de compra e venda do carro por simulação absoluta; | (C) inexistência do contrato de compra e venda do carro por simulação relativa subjetiva; | (D) nulidade do contrato de compra e venda do carro por simulação absoluta; | (E) anulabilidade do contrato de compra e venda do carro por simulação relativa objetiva.";DIREITO CIVIL;Contratos em espécie. Compra e venda. Troca ou permuta. Contrato Estimatório. Doação.;3;0.58;groq;alta
TJAP22-8;A Lig Suprimentos Ltda. firmou uma confissão de dívida perante a SMA Informática S/A, tendo por objeto a quantia de R$ 150.000,00. Uma das cláusulas da confissão de dívida estabelecia que o pagamento da dívida se daria em data a ser definida por credor e devedor. Com o passar do tempo, a SMA Informática S/A tentou por diversas vezes fixar a data para pagamento, mas a Lig Suprimentos Ltda. nunca concordava. A mencionada cláusula contém uma condição:;"(A) suspensiva simplesmente potestativa; | (B) resolutiva puramente potestativa; | (C) suspensiva contraditória; | (D) resolutiva simplesmente potestativa; | (E) suspensiva puramente potestativa.";DIREITO CIVIL;Obrigações. Modalidade das obrigações. Obrigação natural. Obrigação propter rem. Obrigações alternativas. Obrigações divisíveis e indivisíveis. Obrigações solidárias. Transmissão das obrigações: cessão de crédito e assunção de dívida. Adimplemento e extinção das obrigações. Inadimplemento das obrigações. Mora, perdas e danos, juros legais, cláusula penal, arras ou sinal. Preferências e privilégios creditórios.;2;0.60;groq;alta
TJAP22-9;A empreiteira Cosme Ltda. contratou a Flet Ltda. para que ela lhe desse a perfuratriz modelo SKS que tinha no seu galpão em Santana. Entretanto, outra cláusula do contrato previa a possibilidade acessória de a Flet Ltda. se desincumbir de sua obrigação, se quisesse, entregando à Cosme Ltda. a perfuratriz modelo 1190 que está em seu armazém nos arredores de Macapá. Ocorre que, antes da data marcada para a entrega, uma tempestade atinge Santana e destrói o galpão, inviabilizando a entrega da perfuratriz modelo SKS. Diante disso, a Cosme Ltda. pode exigir:;"(A) somente a entrega da perfuratriz modelo 1190, sem direito a perdas e danos; | (B) a entrega da perfuratriz modelo 1190, com direito a perdas e danos; | (C) o equivalente pecuniário da perfuratriz modelo SKS ou a entrega da perfuratriz modelo 1190; | (D) o equivalente pecuniário da perfuratriz modelo SKS ou a entrega da perfuratriz modelo 1190, com direito a perdas e danos; | (E) somente a resolução do contrato, com devolução de valores eventualmente pagos.";DIREITO CIVIL;Contratos em espécie. Compra e venda. Troca ou permuta. Contrato Estimatório. Doação. Locação de coisas. Locação de imóveis. Empréstimo: comodato e mútuo. Prestação de serviço. Empreitada. Depósito. Mandato. Comissão. Agência e distribuição. Corretagem. Transporte. Seguro. Constituição de renda. Jogo e aposta. Fiança. Transação. Compromisso.;4;0.44;groq;alta
TJAP22-10;Renato, professor universitário, adquiriu um automóvel usado de seu vizinho, Adalberto, corretor de imóveis. Este lhe concedeu dois meses de garantia, iniciada a partir da entrega do bem. Entretanto, três dias depois de expirada a garantia, o veículo pifou na estrada, exigindo de Renato gastos com reboque e conserto. Diante disso, é correto afirmar que:;"(A) Renato nada mais pode pretender em face de Adalberto, pois, tendo em vista a natureza da relação, a garantia contratual afasta a garantia legal; | (B) para pretender a resolução do contrato ou o abatimento do preço, Renato deve provar que o defeito era preexistente ao término do prazo de garantia; | (C) ante a possibilidade de conserto do bem, não pode Renato resolver o contrato por falta do requisito da gravidade do vício, mas pode pleitear abatimento no preço pago; | (D) Renato somente pode pretender indenização dos gastos com reboque e conserto se comprovar que Adalberto agiu de má-fé, pois já sabia do defeito do veículo; | (E) Renato pode optar entre a substituição por outro automóvel, a restituição do preço pago, atualizado monetariamente, ou seu abatimento proporcional. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 5";DIREITO CIVIL;Contratos em espécie. Compra e venda.;4;0.50;groq;alta
TJAP22-11;Marcelo firmou com Reinaldo contrato de locação de imóvel urbano para fins residenciais pelo prazo de dois anos. Na condição de locador, Marcelo poderá reaver o imóvel antes do término do prazo:;"(A) se o pedir para uso próprio, de seu cônjuge ou companheiro, ou para uso residencial de ascendente ou descendente que não disponha, assim como seu cônjuge ou companheiro, de imóvel residencial próprio; | (B) em decorrência de extinção do contrato de trabalho, se a ocupação do imóvel pelo locatário estava relacionada com o seu emprego; | (C) se for pedido para demolição e edificação licenciada ou para a realização de obras aprovadas pelo poder público, que aumentem a área construída em, no mínimo, 20%; | (D) por mútuo acordo, em decorrência da prática de infração legal ou contratual, ou ainda em decorrência da falta de pagamento do aluguel e demais encargos; | (E) para a realização de reparações urgentes determinadas pelo poder público, ainda que possam ser executadas com a permanência do locatário no imóvel.";DIREITO CIVIL;Contratos em espécie. Compra e venda. Troca ou permuta. Contrato Estimatório. Doação. Locação de coisas. Locação de imóveis.;3;0.55;groq;alta
TJAP22-12;Roberval tornou-se síndico do condomínio do edifício Castanheira. Buscando valorizar o imóvel e remediar alguns problemas inconvenientes do edifício, ele precisa realizar certas obras. Quanto a elas, é correto afirmar que:;"(A) as obras necessárias e urgentes que importem em despesas excessivas podem ser realizadas imediatamente pelo síndico, dispensada comunicação à assembleia; | (B) as obras que importarem em despesas excessivas dependem de aprovação em assembleia especial, cuja convocação compete exclusivamente ao síndico; | (C) o condômino que realizar obras não necessárias, mas de interesse comum, será reembolsado das despesas que efetuar; | (D) a realização de obras voluptuárias dependerá de autorização prévia da assembleia, mediante aprovação da maioria dos condôminos; | (E) não são permitidas construções, nas partes comuns, suscetíveis de prejudicar a utilização, por qualquer dos condôminos, das partes próprias ou comuns.";DIREITO CIVIL;Condomínio;Não listado;0.49;groq;baixa
TJAP22-13;Justina, casada há 25 anos, substituiu, por ocasião do casamento civil com Eduardo, um dos seus patronímicos pelo do marido. Ocorre que o sobrenome adotado passou a ser o protagonista de seu nome civil, em prejuízo do patronímico de solteira, o que passou a lhe causar intenso sofrimento, uma vez que sempre fora conhecida pelo sobrenome de seu pai. Tal fato lhe trouxe danos psicológicos, especialmente agora que os últimos familiares que ainda usam o seu sobrenome familiar encontram-se gravemente doentes. Por essas razões, Justina requereu a modificação do seu patronímico, ainda durante a constância da sociedade conjugal, de forma a voltar a utilizar o sobrenome da sua família. O pedido deve ser julgado:;"(A) improcedente, em virtude do princípio da inalterabilidade do nome ser considerado absoluto na constância da sociedade conjugal; | (B) procedente, pois a autonomia privada é uma das exceções à inalterabilidade do nome previstas na Lei de Registros Públicos; | (C) procedente, pela interpretação histórico-evolutiva da inalterabilidade, da preservação da herança familiar, da autonomia privada e da ausência de prejuízo a terceiros; | (D) improcedente, em razão da modificação do nome civil ser qualificada como excepcional, tendo em vista a consideração à segurança de terceiros; | (E) improcedente, em virtude da proteção à estabilidade do vínculo conjugal e aos interesses do outro cônjuge, ao menos durante a constância da sociedade conjugal.";DIREITO CIVIL;Aspectos gerais do direito de família e das sucessões. Casamento. União estável. Repercussões previdenciárias. Relações de parentesco. Regime de bens entre os cônjuges e os companheiros. Bem de família. Tutela. Curatela. Sucessão em geral: sucessão legítima e testamentária.;1;0.53;groq;alta
TJAP22-14;Adalberto está sendo acusado de, ao conduzir seu veículo embriagado, ter atropelado e causado danos a Lucélia. Ele está sendo acionado na esfera criminal por conta das lesões que teria causado a ela. Sobre sua obrigação de indenizá-la na esfera cível pelos danos sofridos, é correto afirmar que:;"(A) ainda que condenado na esfera criminal, a quantificação do dever de indenizar depende de procedimento cível, tendo em vista a diversidade de requisitos entre o ilícito penal e o civil; | (B) a absolvição no âmbito penal impede que ele seja condenado no âmbito cível, se a sentença for fundada na inexistência do fato ou da autoria; | (C) a sentença penal absolutória fundada em excludente de ilicitude vincula o juízo cível, inviabilizando qualquer pretensão da vítima à indenização em face dele; | (D) absolvido na seara criminal por falta de provas do fato, da culpa ou da autoria, fica Adalberto liberado de responsabilidade civil; | (E) a sentença penal absolutória fundada em atipicidade do fato afasta a obrigação de indenizar na esfera cível, inviabilizando a investigação sobre ato ilícito nessa seara. Tribunal de Justiça do Estado do Amapá FGV Conhecimento Juiz de Direito Substituto  Tipo 1 - Branca – Página 6";DIREITO CIVIL;Responsabilidade civil. Elementos. Responsabilidade por fato de outrem. Responsabilidade por fato da coisa. Teorias subjetiva e objetiva da responsabilidade civil.;1;0.60;groq;alta
TJAP22-15;Cássia morreu intestada em 2019, deixando uma companheira, Ana, com quem vivia, de forma pública, contínua e duradoura, com objetivo de constituir família, há cerca de dez anos. Em um relacionamento anterior, durante sua juventude, Cássia teve três filhos: Roger, Alan e Juliana. Roger faleceu em 2008, deixando uma filha então recém-nascida, Ingrid, que é a única neta de Cássia. Alan, por não concordar com a orientação sexual assumida pela mãe, teve com ela uma discussão dura em 2017, com troca de grosserias e ofensas, e desde então não mais se falavam. Juliana abriu mão de sua parte na herança de Cássia em favor de sua sobrinha Ingrid. Sobre a sucessão de Cássia, é correto afirmar que:;"(A) a união homoafetiva com Cássia autoriza Ana a pretender a meação dos bens adquiridos onerosamente na sua constância, mas não lhe atribui direitos sucessórios; | (B) a parcela da herança que seria atribuída a Roger será dividida entre Alan e Juliana, em vista do direito de acrescer decorrente de serem herdeiros de mesma classe; | (C) Ingrid somente terá direitos sucessórios se, além de Juliana, também Alan renunciar à herança, pois os descendentes em grau mais próximo excluem os mais remotos; | (D) Alan somente será excluído da sucessão se caracterizada judicialmente a ocorrência de crime contra a honra de Cássia e declarada a indignidade por sentença; | (E) o ato de Juliana caracteriza renúncia à herança, de modo retroativo, produzindo efeitos como se ela jamais tivesse adquirido direito sobre o acervo hereditário. Direito Processual Civil";DIREITO CIVIL;Aspectos gerais do direito de família e das sucessões. Casamento. União estável. Repercussões previdenciárias. Relações de parentesco. Regime de bens entre os cônjuges e os companheiros. Bem de família. Tutela. Curatela. Sucessão em geral: sucessão legítima e testamentária.;1;0.54;groq;alta
TJAP22-16;Intentada determinada demanda, o réu, no curso da fase de instrução probatória, percebeu que os elementos carreados aos autos não respaldavam os seus argumentos defensivos e, também, que realmente assistia ao autor o direito afirmado na petição inicial. No intuito de evitar a prolação de uma sentença de mérito em seu desfavor, o demandado revogou o mandato outorgado ao seu único advogado. Percebendo o vício de representação processual, o juiz da causa determinou a intimação do réu para que o sanasse, sem que, todavia, este tivesse adotado qualquer providência. Nesse cenário, deve o juiz:;"(A) decretar a revelia do réu e determinar a abertura de vista dos autos ao curador especial para desempenhar a sua defesa; | (B) determinar a suspensão do processo, até que o vício de representação do réu seja regularizado; | (C) julgar extinto o feito, sem resolução do mérito, por ausência de pressuposto processual de validade; | (D) proferir sentença de mérito, acolhendo o pedido formulado pelo autor; | (E) ordenar a expedição de ofício à OAB, solicitando a disponibilização de advogado para exercer a defesa do réu.";DIREITO PROCESSUAL CIVIL;Petição inicial. Requisitos e controle de admissibilidade. Pedido. Resposta do réu (contestação, reconvenção, exceções). Providências preliminares e julgamento conforme o estado do processo.;1;0.69;groq;alta
TJAP22-17;Intentou-se demanda em face de incapaz, na qual a parte autora deduziu pretensão de cobrança de uma obrigação contratual. Validamente citado, o réu ofertou contestação, suscitando, entre outras matérias defensivas, a prescrição do direito de crédito. Atuando no feito como fiscal da ordem jurídica, o Ministério Público lançou a sua promoção final, opinando pelo reconhecimento da prescrição. Ao proferir a sentença, o juiz da causa, sem atentar para a arguição da prescrição na peça contestatória, tampouco para a opinativa ministerial, julgou procedente o pleito do autor. Tomando ciência do ato decisório, o órgão ministerial, sete dias depois de sua intimação pessoal, interpôs embargos de declaração, nos quais, alegando que o órgão julgador havia se omitido quanto ao tema, requereu a apreciação e o consequente reconhecimento do fenômeno prescricional. Ao tomar contato com os embargos declaratórios do Ministério Público, deve o juiz:;"(A) deixar de recebê-los, em razão da falta de legitimidade do recorrente; | (B) deixar de recebê-los, em razão da intempestividade da peça recursal; | (C) determinar a remessa dos autos ao órgão de segunda instância; | (D) recebê-los e acolher de imediato a pretensão recursal, para reconhecer a prescrição e rejeitar o pedido do autor; | (E) recebê-los e determinar a intimação da parte autora para apresentar, caso queira, a sua resposta ao recurso.";DIREITO PROCESSUAL CIVIL;Recursos em espécie (apelação, agravo de instrumento, embargos de declaração, agravo interno, recurso ordinário constitucional, recurso extraordinário, recurso especial);3;0.66;groq;alta
